fetched_at,data_timestamp,datetime,datetime_ph,lat,lon,timezone,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level_pressure,grnd_level_pressure,visibility,wind_speed,wind_direction,clouds_all,sunrise,sunset,rain_1h,snow_1h
2026-06-15T00:28:46.687073+08:00,1781366400,2026-06-13T16:00:00+00:00,2026-06-14T00:00:00+08:00,14.0760,120.6321,Asia/Manila,803,Clouds,broken clouds,27.3,30.53,,,1011,81,,,10000,0.83,234,80,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781370000,2026-06-13T17:00:00+00:00,2026-06-14T01:00:00+08:00,14.0760,120.6321,Asia/Manila,803,Clouds,broken clouds,27.27,30.46,,,1010,81,,,10000,1.66,157,83,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781373600,2026-06-13T18:00:00+00:00,2026-06-14T02:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,27.04,30.02,,,1010,82,,,10000,2.84,76,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781377200,2026-06-13T19:00:00+00:00,2026-06-14T03:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,26.94,29.88,,,1010,83,,,10000,5.72,64,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781380800,2026-06-13T20:00:00+00:00,2026-06-14T04:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,26.73,29.47,,,1010,84,,,10000,8.24,66,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781384400,2026-06-13T21:00:00+00:00,2026-06-14T05:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,26.49,26.49,,,1010,86,,,10000,10.01,62,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781388000,2026-06-13T22:00:00+00:00,2026-06-14T06:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,26.62,26.62,,,1010,85,,,10000,8.6,85,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781391600,2026-06-13T23:00:00+00:00,2026-06-14T07:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,27.09,30.24,,,1011,83,,,10000,7.85,122,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781395200,2026-06-14T00:00:00+00:00,2026-06-14T08:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,27.92,31.75,,,1011,79,,,10000,8.96,148,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781398800,2026-06-14T01:00:00+00:00,2026-06-14T09:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,28.86,33.16,,,1011,74,,,10000,6.55,152,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781402400,2026-06-14T02:00:00+00:00,2026-06-14T10:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,30.21,34.81,,,1011,67,,,10000,4.86,163,100,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781406000,2026-06-14T03:00:00+00:00,2026-06-14T11:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,30.83,35.49,,,1011,64,,,10000,4.43,203,97,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781409600,2026-06-14T04:00:00+00:00,2026-06-14T12:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,31.18,36.03,,,1010,63,,,10000,8.17,236,87,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781413200,2026-06-14T05:00:00+00:00,2026-06-14T13:00:00+08:00,14.0760,120.6321,Asia/Manila,803,Clouds,broken clouds,31.11,36.14,,,1010,64,,,10000,15.66,253,84,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781416800,2026-06-14T06:00:00+00:00,2026-06-14T14:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,30.84,35.78,,,1010,65,,,10000,17.14,263,91,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781420400,2026-06-14T07:00:00+00:00,2026-06-14T15:00:00+08:00,14.0760,120.6321,Asia/Manila,804,Clouds,overcast clouds,30.58,35.17,,,1009,65,,,10000,17.14,267,93,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781424000,2026-06-14T08:00:00+00:00,2026-06-14T16:00:00+08:00,14.0760,120.6321,Asia/Manila,803,Clouds,broken clouds,30.38,34.72,,,1009,65,,,10000,16.6,267,59,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781427600,2026-06-14T09:00:00+00:00,2026-06-14T17:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,29.87,34.04,,,1009,67,,,10000,14.54,265,45,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781431200,2026-06-14T10:00:00+00:00,2026-06-14T18:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,29.09,33.12,,,1010,71,,,10000,11.95,275,41,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781434800,2026-06-14T11:00:00+00:00,2026-06-14T19:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,28.19,31.93,,,1010,76,,,10000,8.75,272,44,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781438400,2026-06-14T12:00:00+00:00,2026-06-14T20:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,27.99,31.62,,,1011,77,,,10000,7.09,266,43,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781442000,2026-06-14T13:00:00+00:00,2026-06-14T21:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,27.9,31.56,,,1011,78,,,10000,6.84,268,48,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781445600,2026-06-14T14:00:00+00:00,2026-06-14T22:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,27.74,31.19,,,1012,78,,,10000,6.26,252,46,1781386154,1781432771,,
2026-06-15T00:28:46.687073+08:00,1781449200,2026-06-14T15:00:00+00:00,2026-06-14T23:00:00+08:00,14.0760,120.6321,Asia/Manila,802,Clouds,scattered clouds,27.66,31.13,,,1012,79,,,10000,6.26,252,37,1781386154,1781432771,,
