fetched_at,data_timestamp,datetime,datetime_ph,lat,lon,timezone,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level_pressure,grnd_level_pressure,visibility,wind_speed,wind_direction,clouds_all,sunrise,sunset,rain_1h,snow_1h
2026-03-09T16:40:32.038135+08:00,1773043200,2026-03-09T08:00:00+00:00,2026-03-09T16:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,28.76,29.83,,,1012,54,,,10000,31.82,70,100,,,,
2026-03-09T16:40:32.038173+08:00,1773046800,2026-03-09T09:00:00+00:00,2026-03-09T17:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,28.58,29.7,,,1012,55,,,10000,28.4,78,100,,,,
2026-03-09T16:40:32.038196+08:00,1773050400,2026-03-09T10:00:00+00:00,2026-03-09T18:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,28.29,29.53,,,1012,57,,,10000,28.48,83,100,,,,
2026-03-09T16:40:32.038225+08:00,1773054000,2026-03-09T11:00:00+00:00,2026-03-09T19:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,27.57,28.74,,,1012,59,,,10000,28.76,81,100,,,,
2026-03-09T16:40:32.038243+08:00,1773057600,2026-03-09T12:00:00+00:00,2026-03-09T20:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,26.77,27.99,,,1013,63,,,10000,29.84,78,100,,,,
2026-03-09T16:40:32.038259+08:00,1773061200,2026-03-09T13:00:00+00:00,2026-03-09T21:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,25.94,26.29,,,1014,65,,,10000,26.03,72,100,,,,
2026-03-09T16:40:32.038275+08:00,1773064800,2026-03-09T14:00:00+00:00,2026-03-09T22:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.65,24.95,,,1014,68,,,10000,26.03,81,100,,,,
2026-03-09T16:40:32.038290+08:00,1773068400,2026-03-09T15:00:00+00:00,2026-03-09T23:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.48,24.76,,,1014,68,,,10000,26.89,82,100,,,,
2026-03-09T16:40:32.038305+08:00,1773072000,2026-03-09T16:00:00+00:00,2026-03-10T00:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.29,24.6,,,1014,70,,,10000,26.86,77,92,,,,
2026-03-09T16:40:32.038328+08:00,1773075600,2026-03-09T17:00:00+00:00,2026-03-10T01:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.23,24.54,,,1013,70,,,10000,26.17,79,93,,,,
2026-03-09T16:40:32.038343+08:00,1773079200,2026-03-09T18:00:00+00:00,2026-03-10T02:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.1,24.42,,,1013,71,,,10000,25.6,78,93,,,,
2026-03-09T16:40:32.038358+08:00,1773082800,2026-03-09T19:00:00+00:00,2026-03-10T03:00:00+08:00,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.04,24.35,,,1013,71,,,10000,26.03,78,100,,,,
